step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,6.0,1.2,6.019869352584057,2,6.0,0.46119017679265667,2,6.0
30.0,4,43.0,4.777777777777778,6.853776901321164,4,43.0,0.27984335062582427,4,43.0
45.0,3,32.0,3.5555555555555554,7.181509212179638,3,32.0,0.3654944791780609,3,32.0
60.0,4,62.0,5.636363636363637,7.263877073480811,4,62.0,0.3795568124331309,4,62.0
75.0,2,8.0,0.6666666666666666,7.314735069320761,2,17.0,0.36894186619776903,2,17.0
90.0,4,48.0,5.333333333333333,4.916438383926882,4,48.0,0.28940145998828837,4,48.0
105.0,7,100.0,8.333333333333334,4.2711232756952295,7,100.0,0.17747612271681829,7,100.0
120.0,8,126.0,8.4,4.929181035739235,8,126.0,0.1958828418844064,8,126.0
135.0,8,148.0,9.25,4.197269604881434,8,148.0,0.16632999155550687,8,148.0
150.0,4,117.0,7.3125,6.966964867373567,4,134.0,0.341418205369091,4,134.0
165.0,8,92.0,6.571428571428571,4.705085183864222,8,101.0,0.23503059064082868,8,101.0
180.0,7,136.0,9.066666666666666,4.207000747156609,7,145.0,0.14451595966927683,7,145.0
195.0,8,190.0,11.875,4.287717699089532,8,199.0,0.17209541058047137,8,199.0
210.0,6,121.0,7.5625,5.357374827487508,6,145.0,0.25671497929288506,6,145.0
225.0,10,241.0,16.066666666666666,2.6894254208117574,10,241.0,0.09752137072276335,10,241.0
240.0,11,278.0,16.352941176470587,3.1158319292666676,11,278.0,0.10833093943729631,11,278.0
255.0,7,154.0,8.105263157894736,4.910243201766507,7,244.0,0.22149430187919375,7,244.0
270.0,12,308.0,18.11764705882353,3.0970877072432272,12,308.0,0.12675679380920593,12,308.0
285.0,7,137.0,7.2105263157894735,5.304756748636595,7,254.0,0.26591795375614946,7,254.0
300.0,12,275.0,15.277777777777779,3.8357153431048965,12,275.0,0.13877232950104107,12,275.0
315.0,10,181.0,9.526315789473685,3.364114206698948,10,214.0,0.13903879726878887,10,214.0
330.0,12,342.0,19.0,2.7680517573200167,12,342.0,0.1229366262552906,12,342.0
345.0,10,253.0,12.65,5.009050113636296,10,317.0,0.23591695719967326,10,317.0
360.0,12,414.0,23.0,2.974014301937536,12,414.0,0.08700521880243604,12,414.0
375.0,10,343.0,17.15,4.5703293324226655,10,368.0,0.19352035540761722,10,368.0
390.0,9,114.0,6.0,3.9859509728360734,9,233.0,0.1778736936233297,9,233.0
405.0,12,257.0,14.277777777777779,3.562053297164663,12,270.0,0.11155577680202974,12,270.0
420.0,8,224.0,12.444444444444445,5.138100342843469,8,244.0,0.2932049424651753,8,244.0
435.0,10,150.0,7.894736842105263,4.088568765638681,10,187.0,0.1264405458263026,10,187.0
450.0,11,178.0,9.368421052631579,3.752291186148295,11,224.0,0.15173086097964958,11,224.0
465.0,15,358.0,18.842105263157894,1.81769343144836,15,374.0,0.044456721268420124,15,374.0
480.0,11,234.0,10.636363636363637,3.627440123935781,11,388.0,0.16605774418920163,11,388.0
495.0,11,317.0,15.095238095238095,3.742447556218454,11,355.0,0.16774540297760687,11,355.0
510.0,11,256.0,12.8,4.21523278664681,11,292.0,0.16850067048406098,11,292.0
525.0,8,158.0,7.9,3.694751943131447,8,261.0,0.15052818443897606,8,261.0
540.0,10,300.0,15.789473684210526,4.53183923272206,10,327.0,0.16331341251551215,10,327.0
555.0,10,283.0,14.894736842105264,4.176133977140825,10,311.0,0.1608487661088172,10,311.0
570.0,10,241.0,12.68421052631579,3.9346201318371192,10,271.0,0.15587058270941245,10,271.0
585.0,9,136.0,7.157894736842105,4.170870829573503,9,194.0,0.1581768052832308,9,194.0
600.0,10,265.0,15.588235294117647,3.8689193652126286,10,282.0,0.15969148296011346,10,282.0
615.0,12,272.0,14.31578947368421,3.551457104983857,12,289.0,0.08988815128921389,12,289.0
630.0,9,238.0,12.526315789473685,4.925211829961892,9,284.0,0.22659128383493718,9,284.0
645.0,11,387.0,21.5,4.708480092949178,11,404.0,0.16288139425752707,11,404.0
660.0,9,160.0,8.421052631578947,4.064914486720319,9,292.0,0.1697883457158901,9,292.0
675.0,7,190.0,9.5,3.496382102361644,7,366.0,0.12715636143474182,7,366.0
690.0,10,139.0,7.315789473684211,4.314444546930638,10,302.0,0.15435776900380377,10,302.0
705.0,7,136.0,7.555555555555555,5.311048289581364,7,171.0,0.18100358755911702,7,171.0
720.0,10,234.0,14.625,4.755636142319744,10,269.0,0.22078211837329725,10,269.0
735.0,10,131.0,7.277777777777778,4.332020072261601,10,206.0,0.1603252906437573,10,206.0
750.0,12,290.0,17.058823529411764,2.4009784202962354,12,294.0,0.11596785611193876,12,294.0
765.0,10,310.0,15.5,4.383715521165479,10,310.0,0.14665283271614343,10,310.0
780.0,7,249.0,13.105263157894736,4.840258717123094,7,299.0,0.2358784339674216,7,299.0
795.0,11,374.0,20.77777777777778,4.230554424609734,11,374.0,0.152452275418733,11,374.0
810.0,9,144.0,8.0,4.726913777728019,9,227.0,0.19610710754926752,9,227.0
825.0,12,302.0,17.764705882352942,2.909841661654822,12,302.0,0.09161151927693766,12,302.0
840.0,11,331.0,17.42105263157895,3.810011795972738,11,331.0,0.18744562174031165,11,331.0
855.0,8,103.0,5.15,3.7689932228721448,8,260.0,0.15944821181370894,8,260.0
870.0,9,232.0,12.210526315789474,5.144504405104281,9,232.0,0.17036113220329047,9,232.0
885.0,5,116.0,6.823529411764706,4.998402120755408,5,201.0,0.254597054332437,5,201.0
900.0,9,225.0,14.0625,5.099823305394506,9,225.0,0.17269807370880805,9,225.0
915.0,12,297.0,17.470588235294116,2.699245183971481,12,297.0,0.0942333265202065,12,297.0
930.0,7,132.0,6.6,4.211458852724848,7,265.0,0.21566311089693382,7,265.0
945.0,7,183.0,10.166666666666666,5.181902505192326,7,193.0,0.17356916399138003,7,193.0
960.0,11,227.0,14.1875,3.217407821812497,11,237.0,0.14205038269449208,11,237.0
975.0,4,80.0,4.2105263157894735,6.009166741748505,4,192.0,0.2730291652228988,4,192.0
990.0,9,185.0,10.882352941176471,5.258162367779757,9,195.0,0.18595269817970003,9,195.0
1005.0,8,176.0,11.0,5.048188865217517,8,180.0,0.2322641945329211,8,180.0
1020.0,8,143.0,8.411764705882353,4.114398866527367,8,158.0,0.13357570880776665,8,158.0
1035.0,8,122.0,6.777777777777778,4.556648664836185,8,155.0,0.18012242110002802,8,155.0
1050.0,11,185.0,10.882352941176471,3.336919395535771,11,208.0,0.09526647111185908,11,208.0
1065.0,7,161.0,8.944444444444445,5.545538590592419,7,200.0,0.2549372103552133,7,200.0
1080.0,9,175.0,10.294117647058824,4.962473554819251,9,206.0,0.25141325535416287,9,206.0
1095.0,9,133.0,7.388888888888889,4.427713494019709,9,172.0,0.17809656122218054,9,172.0
1110.0,11,175.0,9.210526315789474,3.7030194720735463,11,202.0,0.12349277820010514,11,202.0
1125.0,9,192.0,10.105263157894736,4.506783519861493,9,231.0,0.21752415447624937,9,231.0
1140.0,12,248.0,13.777777777777779,3.183418782485403,12,275.0,0.1160018040870301,12,275.0
1155.0,12,343.0,17.15,3.624752623573889,12,362.0,0.10486328525193814,12,362.0
1170.0,16,558.0,29.36842105263158,0.9928315202354865,16,577.0,0.06867072821663221,16,577.0
1185.0,12,383.0,16.652173913043477,4.406548601951355,12,480.0,0.16762265530089568,12,480.0
1200.0,17,601.0,28.61904761904762,1.7195812650717062,17,604.0,0.0748611272416036,17,604.0
1215.0,13,284.0,11.36,3.031917057148762,13,549.0,0.12559031260217543,13,549.0
1230.0,13,337.0,14.041666666666666,4.330305109375607,13,412.0,0.1827913823275521,13,412.0
1245.0,10,191.0,8.304347826086957,4.058611598689547,10,354.0,0.1828575030407441,10,354.0
1260.0,13,239.0,10.863636363636363,3.709977037471594,13,403.0,0.08397924998996015,13,403.0
1275.0,14,321.0,14.590909090909092,3.6701475530245133,14,410.0,0.15445702325188718,14,410.0
1290.0,11,251.0,10.91304347826087,3.1028707525275636,11,421.0,0.1109762676811942,11,421.0
1305.0,13,429.0,20.428571428571427,3.649661223678822,13,518.0,0.1340483992569031,13,518.0
1320.0,14,628.0,29.904761904761905,2.9417991759443627,14,717.0,0.08444174195145508,14,717.0
1335.0,11,379.0,17.227272727272727,3.449804193465594,11,522.0,0.1570403930918228,11,522.0
1350.0,12,555.0,27.75,3.60966528993537,12,555.0,0.117151561698544,12,555.0
1365.0,7,159.0,7.95,4.540947139475381,7,424.0,0.22297732525192623,7,424.0
1380.0,10,289.0,15.210526315789474,3.848577027381626,10,289.0,0.14714019688893343,10,289.0
1395.0,12,231.0,12.157894736842104,3.6950730058254124,12,231.0,0.1299575681698247,12,231.0
1410.0,7,205.0,10.789473684210526,4.496018191348189,7,245.0,0.19314024338852706,7,245.0
1425.0,10,331.0,18.38888888888889,4.351081082313094,10,331.0,0.12766506507407288,10,331.0
1440.0,6,157.0,9.235294117647058,4.489374132635994,6,217.0,0.17801899756403777,6,217.0
1455.0,8,265.0,15.588235294117647,5.028600245383668,8,265.0,0.18742623615828954,8,265.0
1470.0,5,151.0,8.882352941176471,4.297961209133363,5,189.0,0.17196224839429994,5,189.0
1485.0,7,234.0,14.625,5.606728073206341,7,234.0,0.17818648917254198,7,234.0
1500.0,5,181.0,12.066666666666666,6.0475120280830605,5,198.0,0.31822225294949386,5,198.0
1515.0,4,27.0,1.9285714285714286,7.234001407437048,4,35.0,0.3275085610631925,4,35.0
1530.0,5,61.0,5.083333333333333,5.480430398736079,5,61.0,0.2165171006740265,5,61.0
1545.0,5,90.0,6.923076923076923,7.100266945805941,5,90.0,0.35249522630916125,5,90.0
