step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,5.0,1.0,7.049696698537252,2,5.0,0.4785424030603003,2,5.0
30.0,5,44.0,5.5,2.9069977752653964,5,44.0,0.21244823975411636,5,44.0
45.0,5,61.0,5.545454545454546,5.46224432302131,5,61.0,0.25680271989607195,5,61.0
60.0,6,121.0,9.307692307692308,6.599894793154755,6,121.0,0.3137528159823471,6,121.0
75.0,8,151.0,10.785714285714286,4.1738666875594985,8,151.0,0.15575825338327795,8,151.0
90.0,5,51.0,3.642857142857143,6.093307998157662,5,93.0,0.3335909783271417,5,93.0
105.0,8,150.0,12.5,4.249365551799194,8,150.0,0.1860892545222159,8,150.0
120.0,9,192.0,12.8,4.475714426615429,9,192.0,0.12990637284142934,9,192.0
135.0,5,138.0,9.2,5.40425093901864,5,138.0,0.20401682946496058,5,138.0
150.0,5,86.0,6.142857142857143,6.380696488640061,5,90.0,0.3210093967752599,5,90.0
165.0,3,25.0,2.0833333333333335,7.280303313704741,3,38.0,0.416408617396399,3,38.0
180.0,6,94.0,9.4,4.3329942487508815,6,94.0,0.2544557094607942,6,94.0
195.0,5,107.0,8.23076923076923,6.345673518579637,5,107.0,0.28433005705109143,5,107.0
210.0,3,86.0,7.166666666666667,7.344263145781464,3,86.0,0.39845723766331975,3,86.0
225.0,5,49.0,4.454545454545454,3.9437853927330164,5,49.0,0.1884267417695008,5,49.0
240.0,5,92.0,7.076923076923077,5.923327579014616,5,92.0,0.25863300402304545,5,92.0
255.0,7,150.0,10.714285714285714,5.308793526460486,7,150.0,0.2212193230368627,7,150.0
270.0,4,57.0,4.071428571428571,6.910415541164106,4,70.0,0.3661522283156836,4,70.0
285.0,3,22.0,1.8333333333333333,7.29076054643334,3,42.0,0.3409744345999184,3,42.0
300.0,3,32.0,2.6666666666666665,7.660996954543152,3,41.0,0.4486131226708721,3,41.0
315.0,6,77.0,5.923076923076923,6.049150813014194,6,79.0,0.2676166694959696,6,79.0
330.0,6,112.0,8.615384615384615,4.957006118994358,6,114.0,0.24018245310860403,6,114.0
345.0,6,128.0,9.142857142857142,4.801861987793961,6,128.0,0.18313341280755996,6,128.0
360.0,7,155.0,11.071428571428571,4.6641637093208255,7,155.0,0.20014745112032994,7,155.0
375.0,8,138.0,8.625,4.412493756787947,8,138.0,0.17812910057879772,8,138.0
390.0,8,152.0,8.941176470588236,4.8948840527827615,8,158.0,0.21220465187210105,8,158.0
405.0,8,156.0,9.176470588235293,5.2179228362302785,8,162.0,0.216123009264477,8,162.0
420.0,7,161.0,10.0625,4.38305887844403,7,170.0,0.16552963895330305,7,170.0
435.0,8,180.0,10.588235294117647,4.513570473445309,8,189.0,0.19440745389919117,8,189.0
450.0,11,190.0,11.176470588235293,4.395214344262874,11,193.0,0.1879215342522426,11,193.0
465.0,7,185.0,10.277777777777779,4.455799747669861,7,228.0,0.1656164282895016,7,228.0
480.0,9,291.0,17.11764705882353,4.629347097143157,9,291.0,0.2237442549352127,9,291.0
495.0,7,186.0,10.333333333333334,5.933543565505136,7,193.0,0.2716015599825927,7,193.0
510.0,8,134.0,8.375,5.13099914703065,8,135.0,0.21012347303438772,8,135.0
525.0,7,125.0,8.333333333333334,4.463024842339724,7,126.0,0.1604275626841556,7,126.0
540.0,8,157.0,11.214285714285714,4.815848288981433,8,158.0,0.19823872763706857,8,158.0
555.0,5,42.0,2.8,6.096443410747765,5,97.0,0.2855973895235922,5,97.0
570.0,8,142.0,9.466666666666667,4.485160080367324,8,142.0,0.13257843206345743,8,142.0
585.0,7,152.0,10.133333333333333,6.415275233188595,7,152.0,0.2773649459576805,7,152.0
600.0,3,99.0,7.071428571428571,8.213827208380774,3,120.0,0.39835509177788636,3,120.0
615.0,3,49.0,3.769230769230769,6.74264959891653,3,71.0,0.3312766265272751,3,71.0
630.0,6,87.0,6.6923076923076925,5.691954720220918,6,88.0,0.24513259812731095,6,88.0
645.0,7,143.0,11.0,4.520565170628119,7,144.0,0.2357113835250324,7,144.0
660.0,8,153.0,10.2,3.8472841776133655,8,153.0,0.10108021984553685,8,153.0
675.0,10,171.0,10.058823529411764,3.961624367778336,10,171.0,0.1665614734625798,10,171.0
690.0,10,279.0,16.41176470588235,3.1035526653218777,10,279.0,0.09811432208920869,10,279.0
705.0,4,51.0,3.0,7.008140130868695,4,219.0,0.3390058579715147,4,219.0
720.0,5,102.0,7.285714285714286,7.991955969914123,5,102.0,0.3474589885366842,5,102.0
735.0,7,62.0,4.769230769230769,5.422844189761765,7,62.0,0.20830440803779943,7,62.0
750.0,6,89.0,6.846153846153846,6.393881927860154,6,89.0,0.33214118836041706,6,89.0
765.0,5,52.0,3.7142857142857144,6.313585475152907,5,64.0,0.3361265092103074,5,64.0
780.0,6,136.0,11.333333333333334,6.1267702917373965,6,136.0,0.28998257350157186,6,136.0
795.0,8,133.0,9.5,4.709377288212993,8,133.0,0.19658041554310898,8,133.0
810.0,7,116.0,8.285714285714286,4.793753345379451,7,116.0,0.16836980833548315,7,116.0
825.0,8,196.0,15.076923076923077,3.133104054061029,8,196.0,0.1414251640298406,8,196.0
840.0,9,305.0,19.0625,4.002747821719541,9,305.0,0.17206655406124716,9,305.0
855.0,6,48.0,2.6666666666666665,4.156381131991495,6,204.0,0.15955234870933177,6,204.0
870.0,7,148.0,9.25,4.662059070444875,7,148.0,0.19519361753437411,7,148.0
885.0,9,239.0,15.933333333333334,5.1528018394407376,9,239.0,0.17425643513136863,9,239.0
900.0,4,43.0,2.8666666666666667,5.634405168394935,4,152.0,0.2646361495862528,4,152.0
915.0,7,120.0,8.571428571428571,4.543943176797559,7,120.0,0.13761191303884465,7,120.0
930.0,10,214.0,13.375,3.4636922528670553,10,214.0,0.1628428895896923,10,214.0
945.0,13,350.0,19.444444444444443,3.312843376302321,13,350.0,0.07934801410614424,13,350.0
960.0,7,135.0,7.105263157894737,5.081796823500698,7,291.0,0.23228678474038192,7,291.0
975.0,10,267.0,14.833333333333334,4.599135830069979,10,267.0,0.2168523096029958,10,267.0
990.0,4,26.0,1.625,5.854299848622419,4,164.0,0.2940575008403889,4,164.0
1005.0,5,82.0,5.857142857142857,6.8615084160657895,5,85.0,0.2621974452159314,5,85.0
1020.0,5,106.0,7.571428571428571,6.471041676606277,5,109.0,0.26263962222521176,5,109.0
1035.0,6,80.0,6.153846153846154,5.261842121010237,6,83.0,0.21747670010437214,6,83.0
1050.0,5,75.0,5.769230769230769,4.007158493858514,5,75.0,0.12907194996738028,5,75.0
1065.0,6,80.0,6.153846153846154,5.891826791797338,6,80.0,0.2614257228605654,6,80.0
1080.0,7,103.0,7.923076923076923,5.37936424608841,7,103.0,0.2759491492293341,7,103.0
1095.0,6,99.0,6.6,5.175855368287388,6,99.0,0.18330557562894748,6,99.0
1110.0,10,146.0,9.125,4.73868486716178,10,146.0,0.19939513102769993,10,146.0
1125.0,10,179.0,10.529411764705882,5.023123904472019,10,184.0,0.17916381778432397,10,184.0
1140.0,7,166.0,10.375,5.239646224176244,7,168.0,0.2427254338180976,7,168.0
1155.0,6,71.0,4.176470588235294,4.485132078153377,6,120.0,0.2020948230563072,6,120.0
1170.0,7,151.0,10.066666666666666,5.02304890470747,7,153.0,0.19303574278876906,7,153.0
1185.0,9,196.0,13.066666666666666,4.408546305532122,9,198.0,0.1665633402204203,9,198.0
1200.0,12,295.0,17.352941176470587,3.1129519809990023,12,297.0,0.14246243988436155,12,297.0
1215.0,10,231.0,11.55,4.0983914397275445,10,245.0,0.18931953958855388,10,245.0
1230.0,11,176.0,8.8,4.3338283613979085,11,234.0,0.20199702483229806,11,234.0
1245.0,14,358.0,19.88888888888889,1.865741314219927,14,372.0,0.08627530629344077,14,372.0
1260.0,10,239.0,11.380952380952381,4.332517358570802,10,365.0,0.1906468980999058,10,365.0
1275.0,14,416.0,19.80952380952381,3.2578021385283513,14,430.0,0.1109128456341645,14,430.0
1290.0,13,384.0,17.454545454545453,2.93635008543837,13,413.0,0.07449338831858604,13,413.0
1305.0,9,156.0,7.428571428571429,4.357469781010598,9,317.0,0.1890898437788116,9,317.0
1320.0,11,286.0,13.619047619047619,4.582927186055575,11,286.0,0.16399790429089398,11,286.0
1335.0,9,128.0,6.4,4.110301757960533,9,241.0,0.16938479031075881,9,241.0
1350.0,14,261.0,13.05,2.6873590332116413,14,374.0,0.08128567006219949,14,374.0
1365.0,13,272.0,12.952380952380953,3.728941207533962,13,389.0,0.16312531750724168,13,389.0
1380.0,11,291.0,13.227272727272727,3.781695880846399,11,345.0,0.1606489827005241,11,345.0
1395.0,18,485.0,23.095238095238095,1.639318923494545,18,489.0,0.04637047511501717,18,489.0
1410.0,11,240.0,10.434782608695652,2.87407190777382,11,443.0,0.10118473782524967,11,443.0
1425.0,10,335.0,15.227272727272727,4.571819545579684,10,376.0,0.2105687634873834,10,376.0
1440.0,13,504.0,25.2,3.284232977454175,13,508.0,0.0946473337266838,13,508.0
1455.0,9,264.0,12.571428571428571,4.107665606601948,9,393.0,0.18229623586572652,9,393.0
1470.0,16,272.0,12.363636363636363,3.0385829935873874,16,406.0,0.10772143138013464,16,406.0
1485.0,13,406.0,17.652173913043477,3.0990393761256723,13,447.0,0.11518242091325946,13,447.0
1500.0,9,188.0,8.545454545454545,3.871589553743169,9,357.0,0.16785447059060477,9,357.0
1515.0,14,366.0,17.428571428571427,3.7491498317674803,14,384.0,0.14253127625511183,14,384.0
1530.0,13,402.0,19.142857142857142,3.5328494440775593,13,420.0,0.1318472876738432,13,420.0
1545.0,13,432.0,20.571428571428573,3.4691322721554174,13,432.0,0.11409227087021756,13,432.0
1560.0,14,505.0,22.954545454545453,3.536933565757538,14,525.0,0.14594586513894314,14,525.0
1575.0,9,135.0,5.869565217391305,3.7666911126317224,9,380.0,0.17636922421051246,9,380.0
1590.0,12,282.0,12.818181818181818,3.737826652701891,12,308.0,0.13265399708037937,12,308.0
1605.0,13,405.0,20.25,3.838130461764223,13,425.0,0.20437457830027667,13,425.0
1620.0,12,372.0,18.6,3.796783317876357,12,415.0,0.1526824866723805,12,415.0
1635.0,5,85.0,4.25,5.288532640755254,5,282.0,0.26624946797798693,5,282.0
1650.0,7,169.0,8.894736842105264,5.047620048479888,7,189.0,0.18206544593784693,7,189.0
1665.0,10,291.0,17.11764705882353,5.242881658713966,10,291.0,0.2132196545062629,10,291.0
1680.0,6,160.0,10.0,4.112510305588397,6,193.0,0.1756731368541374,6,193.0
1695.0,8,254.0,15.875,4.862924411960807,8,254.0,0.15149619849498389,8,254.0
1710.0,6,192.0,12.0,5.978145535879742,6,210.0,0.27940014700399113,6,210.0
1725.0,9,168.0,10.5,3.860614264067038,9,186.0,0.14208547620874928,9,186.0
1740.0,7,144.0,9.0,4.991264930021915,7,162.0,0.2121547840425783,7,162.0
1755.0,6,122.0,8.133333333333333,5.87544940529233,6,122.0,0.28914024121370213,6,122.0
1770.0,7,58.0,4.142857142857143,4.930885831044455,7,61.0,0.1965829345865539,7,61.0
1785.0,6,79.0,5.642857142857143,6.2800159919342615,6,88.0,0.31803076914981904,6,88.0
1800.0,7,117.0,8.357142857142858,3.8857434080324302,7,124.0,0.13006177076447897,7,124.0
1815.0,8,185.0,11.5625,5.123860566011113,8,192.0,0.21423658046180047,8,192.0
1830.0,8,184.0,11.5,4.8212720948479735,8,191.0,0.1698107708311276,8,191.0
1845.0,2,33.0,2.2,6.18000450810297,2,114.0,0.38295588246713835,2,114.0
1860.0,4,65.0,4.642857142857143,6.758277748965214,4,65.0,0.20674583968415677,4,65.0
1875.0,6,97.0,7.461538461538462,4.56362053167052,6,97.0,0.1841766475662266,6,97.0
1890.0,6,112.0,8.0,4.932608166950653,6,112.0,0.22343831830004746,6,112.0
1905.0,5,55.0,3.9285714285714284,5.285610905329395,5,79.0,0.25568648588046744,5,79.0
1920.0,6,69.0,4.928571428571429,5.155075298769369,6,69.0,0.19032140900629832,6,69.0
1935.0,5,61.0,4.066666666666666,6.502974220561823,5,61.0,0.34687683990556273,5,61.0
1950.0,8,111.0,7.928571428571429,3.401540193609083,8,111.0,0.15819651173511337,8,111.0
1965.0,8,171.0,10.6875,4.366661331091189,8,171.0,0.18541100970775815,8,171.0
1980.0,8,196.0,12.25,5.047257228320706,8,196.0,0.1880790742983457,8,196.0
1995.0,8,139.0,8.6875,4.22741647451681,8,146.0,0.15230843233431032,8,146.0
2010.0,9,145.0,8.529411764705882,4.253563654103942,9,152.0,0.20823279180806392,9,152.0
2025.0,9,215.0,12.647058823529411,4.808283923991894,9,225.0,0.1879519383620047,9,225.0
2040.0,7,142.0,8.352941176470589,5.410563218021392,7,188.0,0.23778735128170117,7,188.0
2055.0,12,271.0,18.066666666666666,1.836448038008186,12,281.0,0.14028932712869988,12,281.0
2070.0,8,179.0,9.944444444444445,4.228025279997794,8,234.0,0.21458567802175807,8,234.0
2085.0,9,307.0,19.1875,5.34161489252575,9,310.0,0.21001501566280478,9,310.0
2100.0,8,200.0,12.5,5.434529365403715,8,237.0,0.21743897723588076,8,237.0
2115.0,10,112.0,6.588235294117647,3.5570800429010623,10,146.0,0.11590225976549173,10,146.0
2130.0,9,216.0,13.5,4.334022939772547,9,216.0,0.16306607042827934,9,216.0
2145.0,3,101.0,6.733333333333333,6.4424626200701045,3,172.0,0.23603100304223382,3,172.0
2160.0,5,154.0,11.846153846153847,5.878504313581088,5,154.0,0.22499341616914292,5,154.0
2175.0,3,24.0,1.8461538461538463,6.5472805206388305,3,37.0,0.30117300038077605,3,37.0
2190.0,4,77.0,6.416666666666667,5.139448819230001,4,77.0,0.2199134869759446,4,77.0
2205.0,7,122.0,10.166666666666666,5.634401862323678,7,122.0,0.25774188216292615,7,122.0
2220.0,7,131.0,10.076923076923077,5.285311668989625,7,131.0,0.21274728490260605,7,131.0
2235.0,5,49.0,3.2666666666666666,5.125920393664299,5,82.0,0.22179452837649966,5,82.0
2250.0,8,152.0,10.857142857142858,4.1633626589908115,8,152.0,0.18987301677360743,8,152.0
2265.0,9,248.0,15.5,4.05728951135711,9,248.0,0.15640619026682087,9,248.0
2280.0,7,133.0,7.823529411764706,4.512304462941987,7,189.0,0.1817861048348654,7,189.0
2295.0,9,101.0,5.611111111111111,4.526954769834942,9,166.0,0.17054657580073232,9,166.0
2310.0,8,153.0,9.0,4.28671274002713,8,173.0,0.16397543536963452,8,173.0
2325.0,5,67.0,3.9411764705882355,4.1855692832327165,5,149.0,0.19790131310361436,5,149.0
2340.0,8,163.0,10.1875,6.300033543351589,8,183.0,0.23024198027619364,8,183.0
2355.0,8,203.0,12.6875,3.5989992322316087,8,223.0,0.12450152474539576,8,223.0
2370.0,6,118.0,6.9411764705882355,5.1992484073976,6,156.0,0.25089810880819313,6,156.0
2385.0,9,100.0,5.882352941176471,4.870242146959179,9,138.0,0.2327124992909227,9,138.0
2400.0,6,119.0,7.933333333333334,6.86908137051441,6,157.0,0.27459407926489643,6,157.0
2415.0,3,30.0,2.0,5.417815934335974,3,78.0,0.2598908621619732,3,78.0
2430.0,9,131.0,10.076923076923077,2.302159494856099,9,131.0,0.1118519170548578,9,131.0
2445.0,7,140.0,8.75,5.0941261922128005,7,159.0,0.23609401491545579,7,159.0
2460.0,6,105.0,6.176470588235294,5.200757125099837,6,144.0,0.22422390668828285,6,144.0
2475.0,12,194.0,10.777777777777779,2.930761771473834,12,233.0,0.11235634059277366,12,233.0
2490.0,11,281.0,14.789473684210526,5.109462176979605,10,312.0,0.2421554934424574,10,312.0
2505.0,5,205.0,12.8125,7.321198799666149,5,220.0,0.3234028021897771,5,220.0
2520.0,4,35.0,2.5,7.392425949273682,4,80.0,0.43177269196838564,4,80.0
2535.0,9,132.0,10.153846153846153,3.615406802633179,9,147.0,0.23690755967972696,9,147.0
2550.0,9,135.0,7.9411764705882355,5.524827504314884,9,141.0,0.2415100420336706,9,141.0
2565.0,11,237.0,13.941176470588236,3.791951135326557,11,243.0,0.17507912373231357,11,243.0
2580.0,9,213.0,11.210526315789474,4.505826744960228,9,233.0,0.18982790433103475,9,233.0
2595.0,12,279.0,14.68421052631579,3.2663352668673022,12,285.0,0.1260386357568128,12,285.0
2610.0,8,133.0,7.0,4.262454684397393,8,235.0,0.21485764844141775,8,235.0
2625.0,12,282.0,16.58823529411765,2.6136025782680017,12,288.0,0.11037729867869035,12,288.0
2640.0,12,365.0,18.25,3.9708909444261122,12,365.0,0.147003479596078,12,365.0
2655.0,11,294.0,14.0,3.1629291055356132,11,317.0,0.12745015361090195,11,317.0
2670.0,8,91.0,4.55,4.665016979183336,8,242.0,0.19749401932015548,8,242.0
2685.0,9,214.0,11.88888888888889,4.966681712565241,9,236.0,0.18416562313810775,9,236.0
2700.0,8,238.0,14.875,5.026306233147979,8,243.0,0.2188810498142487,8,243.0
2715.0,12,389.0,24.3125,2.6541500566862744,12,389.0,0.10194554574398174,12,389.0
2730.0,8,191.0,10.052631578947368,4.58682280358914,8,262.0,0.21728690581997234,8,262.0
2745.0,13,225.0,11.842105263157896,2.847571275051986,13,296.0,0.06106935759087148,13,296.0
2760.0,7,274.0,14.421052631578947,5.050670232326006,7,316.0,0.20926917078011145,7,316.0
2775.0,10,127.0,6.684210526315789,4.258935114488593,10,201.0,0.10822248475321292,10,201.0
2790.0,13,299.0,17.58823529411765,2.557672779685991,13,329.0,0.13299178040760118,13,329.0
2805.0,11,245.0,12.25,3.834289443041412,11,327.0,0.1459321440608332,11,327.0
2820.0,10,187.0,8.904761904761905,4.095776064018257,10,300.0,0.19741169861330063,10,300.0
2835.0,15,254.0,11.545454545454545,3.569212806395738,15,367.0,0.10399786207801737,15,367.0
2850.0,14,332.0,15.090909090909092,3.493861052769046,14,398.0,0.13275947742458657,14,398.0
2865.0,12,311.0,14.136363636363637,3.4327705502782377,12,393.0,0.13680632996512807,12,393.0
2880.0,8,141.0,6.714285714285714,3.8957248115720113,8,312.0,0.16098225035630817,8,312.0
2895.0,12,284.0,14.2,4.075211817295648,12,290.0,0.15993874948612405,12,290.0
2910.0,15,423.0,21.15,2.6301874403634597,15,429.0,0.12782360782691404,15,429.0
2925.0,14,383.0,17.40909090909091,2.9562091395134207,14,400.0,0.10346163100819059,14,400.0
2940.0,6,110.0,5.238095238095238,5.908640613356374,6,309.0,0.23295607424734416,6,309.0
2955.0,8,222.0,12.333333333333334,4.243987378176855,8,222.0,0.17534096039084016,8,222.0
2970.0,7,176.0,11.0,4.88754669877984,7,184.0,0.20983355439324802,7,184.0
2985.0,8,110.0,7.333333333333333,4.121555697417844,8,118.0,0.15222501607742792,8,118.0
3000.0,7,109.0,6.8125,5.3369737439960145,7,119.0,0.2070665656169003,7,119.0
3015.0,6,67.0,4.1875,6.1987025370606315,6,91.0,0.29074635000830146,6,91.0
3030.0,10,139.0,9.266666666666667,3.6478079117957454,10,151.0,0.1743261618781555,10,151.0
3045.0,9,233.0,13.705882352941176,4.453385840522765,9,243.0,0.17124945843074071,9,243.0
3060.0,9,211.0,12.411764705882353,3.49864124611015,9,221.0,0.12215610272010438,9,221.0
3075.0,9,156.0,8.666666666666666,4.400341754082223,9,171.0,0.17438727665295137,9,171.0
3090.0,12,229.0,12.052631578947368,3.415441607205022,12,244.0,0.13231852158591953,12,244.0
3105.0,6,111.0,5.842105263157895,4.854210249056199,6,229.0,0.24356891766898858,6,229.0
3120.0,9,227.0,13.352941176470589,3.635049573605324,9,242.0,0.10803266504640009,9,242.0
3135.0,9,229.0,12.722222222222221,4.462247851990309,9,248.0,0.18206246338452575,9,248.0
3150.0,6,105.0,6.176470588235294,4.584339529375369,6,142.0,0.19163883716235525,6,142.0
3165.0,7,110.0,6.470588235294118,4.884469679325703,7,116.0,0.17635123309886522,7,116.0
3180.0,9,173.0,10.8125,4.553702408125302,9,179.0,0.18828844039719178,9,179.0
3195.0,9,145.0,8.055555555555555,4.694445694725724,9,168.0,0.17699183274988675,9,168.0
3210.0,10,164.0,9.11111111111111,4.543289993452445,10,193.0,0.1816366747952767,10,193.0
3225.0,10,203.0,11.941176470588236,4.918644689630686,10,220.0,0.21088762094897376,10,220.0
3240.0,10,228.0,13.411764705882353,4.2715316232642,10,245.0,0.15373295657194722,10,245.0
3255.0,7,117.0,6.5,5.073939185556738,7,174.0,0.23743036260738162,7,174.0
3270.0,11,247.0,14.529411764705882,3.8780139809613816,11,247.0,0.125013739679032,11,247.0
3285.0,10,269.0,14.944444444444445,3.94832834666312,10,269.0,0.13867091106262783,10,269.0
3300.0,12,430.0,23.88888888888889,3.48190741549239,12,430.0,0.1076178052803472,12,430.0
