step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,1,2.0,0.4,6.745817424325054,1,2.0,0.48903729761393544,1,2.0
30.0,3,9.0,1.0,6.8837045868866955,3,9.0,0.31478042718116245,3,9.0
45.0,6,63.0,6.3,4.067933340690348,6,63.0,0.22716416766229994,6,63.0
60.0,6,120.0,9.23076923076923,6.57090955760557,6,120.0,0.31932755371048266,6,120.0
75.0,8,148.0,10.571428571428571,4.400745160405748,8,148.0,0.19807578291600206,8,148.0
90.0,5,49.0,3.2666666666666666,7.129101235466387,5,91.0,0.3414582731946127,5,91.0
105.0,10,125.0,8.928571428571429,3.1986633624666188,10,167.0,0.11996360925776578,10,167.0
120.0,9,198.0,11.647058823529411,4.695321307972087,9,199.0,0.18930255487268915,9,199.0
135.0,9,187.0,10.38888888888889,4.077413565721058,9,189.0,0.12417296753737293,9,189.0
150.0,9,190.0,10.555555555555555,5.706782431323311,9,194.0,0.2708187515047483,9,194.0
165.0,11,214.0,12.588235294117647,4.108406066710788,11,216.0,0.18198798036059463,11,216.0
180.0,8,158.0,8.777777777777779,4.540736322401764,8,198.0,0.19259858283878203,8,198.0
195.0,11,239.0,12.578947368421053,3.9590520629498416,11,279.0,0.16153749844240078,11,279.0
210.0,9,188.0,9.4,4.434501889063805,9,247.0,0.1673000815202622,9,247.0
225.0,10,182.0,9.578947368421053,3.910737215330658,10,220.0,0.16544961026723948,10,220.0
240.0,13,225.0,12.5,2.606150552380105,13,246.0,0.09889681766795752,13,246.0
255.0,10,189.0,9.0,3.636918116094812,10,274.0,0.1620927250204474,10,274.0
270.0,10,163.0,7.761904761904762,4.466600164053704,10,293.0,0.19691808923232312,10,293.0
285.0,11,163.0,7.761904761904762,3.805849840218656,11,327.0,0.18905008610037716,11,327.0
300.0,7,147.0,7.0,4.737761756704467,7,235.0,0.18663333928042125,7,235.0
315.0,15,277.0,13.85,2.963427142411782,15,365.0,0.14143632927717464,15,365.0
330.0,8,157.0,7.136363636363637,3.857314451915909,8,322.0,0.14245854647951905,8,322.0
345.0,11,292.0,15.368421052631579,4.11971035492374,11,335.0,0.12545638017103794,11,335.0
360.0,14,473.0,26.27777777777778,2.077361445485231,14,516.0,0.1104610333950854,14,516.0
375.0,10,237.0,10.772727272727273,3.8373764481737966,10,430.0,0.14484518495082177,10,430.0
390.0,13,404.0,19.238095238095237,3.872377862184188,13,404.0,0.14912344666679295,13,404.0
405.0,11,290.0,14.5,4.322668394628653,11,331.0,0.16321886357028123,11,331.0
420.0,8,122.0,6.777777777777778,4.778941358170375,8,205.0,0.21617210604038678,8,205.0
435.0,10,161.0,8.473684210526315,3.3205227271505007,10,244.0,0.1268030933126935,10,244.0
450.0,13,293.0,15.421052631578947,3.609383037387827,13,293.0,0.15910533944202326,13,293.0
465.0,13,333.0,16.65,2.976989671695235,13,339.0,0.06498814980653571,13,339.0
480.0,14,488.0,23.238095238095237,3.58984930343488,14,494.0,0.1536421006191625,14,494.0
495.0,11,190.0,8.26086956521739,4.120226228794315,11,417.0,0.19571801518261994,11,417.0
510.0,13,161.0,7.0,3.2908541452558664,13,488.0,0.12673329481531923,13,488.0
525.0,10,241.0,10.478260869565217,3.2180234734705695,10,447.0,0.14700895329462296,10,447.0
540.0,14,409.0,18.59090909090909,3.779396634409345,14,422.0,0.09776136822101242,14,422.0
555.0,11,328.0,15.619047619047619,4.27660144001002,11,363.0,0.1824217192575939,11,363.0
570.0,12,328.0,15.619047619047619,4.015825900922145,12,353.0,0.18356163218640897,12,353.0
585.0,10,133.0,6.65,3.9650034864890182,10,256.0,0.16485928893689814,10,256.0
600.0,12,287.0,15.944444444444445,3.8745500750227717,12,290.0,0.15801184744368726,12,290.0
615.0,10,350.0,17.5,3.6466849532604377,10,354.0,0.15395404383248518,10,354.0
630.0,9,249.0,12.45,4.522856573437816,9,311.0,0.18965056103171055,9,311.0
645.0,6,93.0,5.166666666666667,5.63951532014535,6,148.0,0.2598690643469553,6,148.0
660.0,12,142.0,7.888888888888889,2.7975170685917523,12,196.0,0.06814234747404924,12,196.0
675.0,13,277.0,13.85,3.1527312409472183,13,283.0,0.10735900404627512,13,283.0
690.0,14,347.0,16.523809523809526,3.0156624444557147,14,347.0,0.07049673535290203,14,347.0
705.0,8,148.0,7.0476190476190474,4.605257097908287,8,342.0,0.2232978327503639,8,342.0
720.0,9,231.0,11.55,5.891758003122597,9,240.0,0.2132919891932992,9,240.0
735.0,9,181.0,10.055555555555555,4.079239896918184,9,222.0,0.16078231811631022,9,222.0
750.0,10,148.0,7.7894736842105265,4.405275561983836,10,189.0,0.20074792420743753,10,189.0
765.0,12,319.0,17.72222222222222,2.4794024247236766,12,360.0,0.0997566551143313,12,360.0
780.0,15,449.0,22.45,2.9591283841228506,15,481.0,0.13399962851972166,15,481.0
795.0,20,705.0,30.652173913043477,1.0594445608425007,20,737.0,0.08598853115319616,20,737.0
810.0,16,651.0,25.03846153846154,3.7105849882805826,16,732.0,0.13400598432480035,16,732.0
825.0,10,206.0,8.956521739130435,3.3698974720602717,10,554.0,0.1551249407366253,10,554.0
840.0,13,370.0,16.08695652173913,4.134731806684642,13,412.0,0.16125856351462556,13,412.0
855.0,17,485.0,21.08695652173913,2.297665156012569,17,492.0,0.03654649114481092,17,492.0
870.0,10,173.0,7.521739130434782,3.468197323427061,10,426.0,0.13258544096318697,10,426.0
885.0,12,317.0,14.409090909090908,4.150100938783137,12,328.0,0.1272149606294408,12,328.0
900.0,10,412.0,20.6,4.14759179099177,10,429.0,0.18260766815071017,10,429.0
915.0,8,75.0,3.5714285714285716,3.183704997146102,8,333.0,0.11991699437853072,8,333.0
930.0,11,219.0,9.954545454545455,5.107181737123627,11,229.0,0.16535566841948474,11,229.0
945.0,6,136.0,7.157894736842105,5.322856130128238,6,236.0,0.23485613249171916,6,236.0
960.0,13,202.0,11.222222222222221,2.984918755881052,13,298.0,0.12453710791227586,13,298.0
975.0,13,281.0,13.380952380952381,4.140390795797479,13,377.0,0.14892270943796024,13,377.0
990.0,16,505.0,25.25,1.6468549902186305,16,601.0,0.09525606936784149,16,601.0
1005.0,11,426.0,19.363636363636363,4.050071353091611,11,529.0,0.17689408934718914,11,529.0
1020.0,11,158.0,6.869565217391305,3.674760471064136,11,436.0,0.14588027723550812,11,436.0
1035.0,17,349.0,15.173913043478262,2.8070928772109265,17,452.0,0.06937520731284495,17,452.0
1050.0,12,388.0,16.869565217391305,3.1909740769309027,12,441.0,0.12103216399683604,12,441.0
1065.0,9,166.0,7.545454545454546,4.073246627292149,9,332.0,0.15819959563104943,9,332.0
1080.0,13,193.0,9.19047619047619,3.6847093091723546,13,320.0,0.1579681249556115,13,320.0
