step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,6.0,1.2,6.62437403506171,2,6.0,0.5132522533098739,2,6.0
30.0,3,39.0,4.333333333333333,6.900568091681581,3,39.0,0.4012418925580136,3,39.0
45.0,5,44.0,4.4,5.839145220314406,5,44.0,0.2799294657308984,5,44.0
60.0,5,79.0,6.583333333333333,6.8439769546346545,5,79.0,0.32267122844544055,5,79.0
75.0,4,54.0,3.857142857142857,6.791319697919097,4,67.0,0.3463791141988424,4,67.0
90.0,4,52.0,4.333333333333333,6.6845476101322525,4,65.0,0.32801009075106724,4,65.0
105.0,6,97.0,8.083333333333334,6.399980300929126,6,97.0,0.2205846074890235,6,97.0
120.0,6,106.0,8.153846153846153,5.157690084517176,6,106.0,0.18471337278054248,6,106.0
135.0,5,139.0,9.928571428571429,4.962050736418519,5,139.0,0.15293461387930496,5,139.0
150.0,5,86.0,6.142857142857143,7.677715712089006,5,89.0,0.40427503172087287,5,89.0
165.0,6,166.0,13.833333333333334,4.368855735223406,6,166.0,0.16785986207533582,6,166.0
180.0,4,47.0,3.357142857142857,6.470467656652774,4,86.0,0.33454731331632237,4,86.0
195.0,5,111.0,8.538461538461538,5.351697306421562,5,111.0,0.22012986883619506,5,111.0
210.0,5,125.0,8.333333333333334,7.017620726062438,5,125.0,0.31131095610292536,5,125.0
225.0,7,119.0,9.153846153846153,3.850872877153765,7,119.0,0.14688261666275604,7,119.0
240.0,5,92.0,6.133333333333334,6.050375163928421,5,93.0,0.26821119354817147,5,93.0
255.0,8,98.0,6.125,4.616242031521354,8,99.0,0.17707045227647158,8,99.0
270.0,13,261.0,16.3125,1.9266714869204378,13,262.0,0.12131156100903585,13,262.0
285.0,10,255.0,12.75,4.709264215136409,10,292.0,0.21082018113249976,10,292.0
300.0,8,123.0,6.15,5.917663275341505,8,213.0,0.23038205727372343,8,213.0
315.0,10,242.0,13.444444444444445,5.343855632062166,10,242.0,0.13015371682373922,10,242.0
330.0,5,109.0,6.8125,5.640993731369329,5,177.0,0.2703466611499092,5,177.0
345.0,8,219.0,15.642857142857142,3.6575144424802235,8,219.0,0.1902239205702457,8,219.0
360.0,10,278.0,17.375,3.3080986431490187,10,278.0,0.11135758682799798,10,278.0
375.0,12,449.0,24.944444444444443,2.89734001796588,12,449.0,0.11623013640204005,12,449.0
390.0,9,267.0,12.714285714285714,4.293807840614866,9,350.0,0.18292909153752912,9,350.0
405.0,11,400.0,21.05263157894737,4.108255115767015,11,400.0,0.10829022624645908,11,400.0
420.0,9,260.0,14.444444444444445,4.149082422793192,9,288.0,0.17028867166965672,9,288.0
435.0,8,107.0,5.631578947368421,4.349444322876046,8,185.0,0.19221468284582424,8,185.0
450.0,12,260.0,15.294117647058824,3.6551194424047075,12,288.0,0.17384381554459663,12,288.0
465.0,6,182.0,10.11111111111111,3.799965054295033,6,282.0,0.12740613844236845,6,282.0
480.0,8,275.0,15.277777777777779,5.680869920000434,8,303.0,0.26198520272570835,8,303.0
495.0,4,61.0,3.588235294117647,6.575049455001492,4,118.0,0.3061110962935776,4,118.0
510.0,8,160.0,12.307692307692308,3.5083353439118388,8,160.0,0.18518290327191658,8,160.0
525.0,8,245.0,16.333333333333332,3.79968670863276,8,245.0,0.11317012451205449,8,245.0
540.0,12,396.0,26.4,1.4425903627850327,12,396.0,0.08872948097260938,12,396.0
555.0,9,287.0,15.105263157894736,4.239970813910433,9,306.0,0.17731119247547955,9,306.0
570.0,7,97.0,4.85,4.500878271963897,7,218.0,0.2030682321324721,7,218.0
585.0,11,237.0,13.166666666666666,3.041381221483952,11,256.0,0.10129437575328284,11,256.0
600.0,9,274.0,14.421052631578947,5.313216177679344,9,283.0,0.2439682117962333,9,283.0
615.0,11,323.0,16.15,3.7478477594414032,11,332.0,0.13663346896507203,11,332.0
630.0,9,154.0,7.7,4.076164118323445,9,259.0,0.16320893808481865,9,259.0
645.0,12,307.0,16.157894736842106,4.176662160143582,12,316.0,0.1128564249541917,12,316.0
660.0,9,384.0,19.2,4.5290541559925135,9,403.0,0.20140316892891844,9,403.0
675.0,10,522.0,27.473684210526315,4.28531614684624,10,531.0,0.20510302336672204,10,531.0
690.0,8,261.0,13.736842105263158,3.8178888112705,8,380.0,0.1476135400774333,8,380.0
705.0,10,155.0,8.157894736842104,4.089241946206012,10,277.0,0.17466698765821892,10,277.0
720.0,11,268.0,14.105263157894736,4.372936368747614,11,271.0,0.16885069866872424,11,271.0
735.0,9,236.0,12.421052631578947,3.6720528346773507,9,271.0,0.15549004790468143,9,271.0
750.0,13,404.0,22.444444444444443,2.6784119872756276,13,407.0,0.13284972168458495,13,407.0
765.0,12,358.0,17.9,3.4706277930145255,12,361.0,0.11614275236515706,12,361.0
780.0,11,298.0,14.9,4.622338686958895,11,333.0,0.22360373585683935,11,333.0
795.0,7,106.0,5.0476190476190474,4.475289911577339,7,275.0,0.2299316354505732,7,275.0
810.0,12,253.0,12.65,3.8323116892449915,12,288.0,0.10998929142436889,12,288.0
825.0,11,320.0,16.842105263157894,3.171023431416737,11,327.0,0.13146139774917912,11,327.0
840.0,10,319.0,15.95,5.171370307217676,10,323.0,0.25697632667685383,10,323.0
855.0,8,84.0,4.2,3.3270566926227354,8,243.0,0.13197484977802126,8,243.0
870.0,9,214.0,11.88888888888889,3.826402573061741,9,218.0,0.14605842208901848,9,218.0
885.0,5,105.0,6.176470588235294,5.108170503254549,5,197.0,0.22090182449772916,5,197.0
900.0,9,219.0,13.6875,4.904766052194219,9,223.0,0.18307489491335704,9,223.0
915.0,13,307.0,18.058823529411764,2.307628350967926,13,307.0,0.08821927987909373,13,307.0
930.0,7,134.0,6.7,4.614876982886366,7,273.0,0.2055475645498781,7,273.0
945.0,8,184.0,10.222222222222221,5.3962787216112815,8,194.0,0.17947443288779782,8,194.0
960.0,11,227.0,14.1875,3.2917523004308125,11,237.0,0.14114775628460194,11,237.0
975.0,4,83.0,4.611111111111111,5.541364241220603,4,195.0,0.3018984046980805,4,195.0
990.0,8,183.0,10.764705882352942,5.117591814537974,8,193.0,0.19457312151408226,8,193.0
1005.0,8,171.0,10.6875,5.484117633507617,8,175.0,0.2635507807973414,8,175.0
1020.0,8,142.0,8.352941176470589,4.35129486925739,8,157.0,0.15979517232167428,8,157.0
1035.0,8,122.0,6.777777777777778,4.061513279887774,8,150.0,0.16655163945588752,8,150.0
