step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,5.0,1.0,6.254069127573033,2,5.0,0.4748522600988404,2,5.0
30.0,5,42.0,5.25,3.0759990768297376,5,42.0,0.2403509279833613,5,42.0
45.0,4,57.0,5.181818181818182,5.247671922336789,4,57.0,0.252124331191941,4,57.0
60.0,6,119.0,9.153846153846153,6.481234032623733,6,119.0,0.3391828928044675,6,119.0
75.0,8,149.0,10.642857142857142,4.621270065511184,8,149.0,0.21891602568644722,8,149.0
90.0,5,53.0,3.533333333333333,6.447357315979004,5,94.0,0.2825244720306995,5,94.0
105.0,8,155.0,11.923076923076923,5.0202699556950625,8,155.0,0.18351695345564623,8,155.0
120.0,8,176.0,11.733333333333333,4.790500270779598,8,176.0,0.171518770717215,8,176.0
135.0,5,146.0,9.125,4.524254228160332,5,151.0,0.16009199660334605,5,151.0
150.0,6,105.0,7.0,6.226069212265226,6,107.0,0.3128778392511187,6,107.0
165.0,5,67.0,4.785714285714286,6.394194844360522,5,81.0,0.30229998776734174,5,81.0
180.0,7,93.0,6.642857142857143,4.729029752784436,7,107.0,0.14161598609916318,7,107.0
195.0,8,140.0,9.333333333333334,4.531717607187702,8,154.0,0.17406574884421716,8,154.0
210.0,6,124.0,8.266666666666667,4.960126421492856,6,124.0,0.22130604473095092,6,124.0
225.0,8,136.0,9.714285714285714,3.218109269017746,8,136.0,0.11051923705712159,8,136.0
240.0,5,86.0,5.375,6.622390578053117,5,122.0,0.3463822568412995,5,122.0
255.0,10,198.0,13.2,3.420547362431927,10,198.0,0.12691950878147573,10,198.0
270.0,6,133.0,7.823529411764706,5.241610088432442,6,177.0,0.2534326239125368,6,177.0
285.0,9,244.0,16.266666666666666,4.8268108674232755,9,244.0,0.1983756638392223,9,244.0
300.0,7,83.0,4.882352941176471,4.997463832282217,7,163.0,0.23075693247848114,7,163.0
315.0,10,183.0,11.4375,3.7524803076130517,10,183.0,0.121386977789852,10,183.0
330.0,6,125.0,7.8125,6.15432363523734,6,156.0,0.30596692269043846,6,156.0
345.0,7,130.0,8.666666666666666,5.974470791801906,7,130.0,0.2173877950400053,7,130.0
360.0,4,48.0,3.4285714285714284,6.111388982495602,4,80.0,0.2537412117576171,4,80.0
375.0,8,137.0,10.538461538461538,3.9754297114093515,8,137.0,0.16616128762664722,8,137.0
390.0,7,141.0,8.8125,4.599359784183879,7,141.0,0.17715047079605392,7,141.0
405.0,9,163.0,10.1875,5.149146731263576,9,163.0,0.22015801270158267,9,163.0
420.0,8,108.0,6.75,5.1859349670583015,8,125.0,0.19350230293130832,8,125.0
435.0,8,144.0,9.0,4.443661957991052,8,144.0,0.16845962227587852,8,144.0
450.0,8,165.0,10.3125,5.670684573099724,8,165.0,0.2648813938400248,8,165.0
465.0,5,52.0,3.25,4.3881143040205135,5,125.0,0.161214574227141,5,125.0
480.0,4,110.0,7.333333333333333,5.5297271242183665,4,110.0,0.23251368643818776,4,110.0
495.0,6,117.0,7.8,5.8521664243065095,6,117.0,0.2721209572618428,6,117.0
510.0,7,159.0,10.6,4.480470594855115,7,159.0,0.17480757114326162,7,159.0
525.0,7,139.0,9.266666666666667,4.895719609788165,7,139.0,0.21921380102262136,7,139.0
540.0,8,170.0,12.142857142857142,5.373695230497573,8,170.0,0.20065407523952247,8,170.0
555.0,5,43.0,2.8666666666666667,6.511618391995594,5,95.0,0.3296759400743658,5,95.0
570.0,8,143.0,9.533333333333333,4.7835837964437395,8,143.0,0.1535231081158064,8,143.0
585.0,7,151.0,10.066666666666666,5.953864358895321,7,151.0,0.25204483611357786,7,151.0
600.0,3,97.0,6.928571428571429,7.891454681937509,3,116.0,0.40037580096748515,3,116.0
615.0,3,44.0,3.3846153846153846,6.555632926389688,3,63.0,0.31389356101520066,3,63.0
630.0,6,81.0,6.230769230769231,5.814840593182506,6,81.0,0.22950585341628202,6,81.0
