step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,7.0,1.4,7.234563559110138,2,7.0,0.4829222307070113,2,7.0
30.0,4,45.0,5.625,6.075909775241128,4,45.0,0.27691163542245173,4,45.0
45.0,4,75.0,8.333333333333334,4.287879335327492,4,75.0,0.18706229872489985,4,75.0
60.0,4,61.0,5.545454545454546,7.026816939330794,4,61.0,0.3501058933388891,4,61.0
75.0,2,9.0,0.75,7.068827479392752,2,18.0,0.3505970597730816,2,18.0
90.0,5,50.0,6.25,4.278260228975248,5,50.0,0.2989483859986422,5,50.0
105.0,6,93.0,7.75,4.969949742656225,6,93.0,0.17983373667135547,6,93.0
120.0,8,118.0,8.428571428571429,4.518784493709741,8,118.0,0.12988069565081126,8,118.0
135.0,6,115.0,8.214285714285714,4.656636425883265,6,115.0,0.18699155873670595,6,115.0
150.0,2,52.0,4.0,8.243695886266442,2,70.0,0.41753704309117884,2,70.0
165.0,6,119.0,10.818181818181818,5.222395409165855,6,119.0,0.21309066412154393,6,119.0
180.0,5,77.0,5.923076923076923,6.131044325194291,5,78.0,0.2465896394602397,5,78.0
195.0,5,85.0,6.538461538461538,5.351963133239723,5,85.0,0.206212613126975,5,85.0
210.0,6,125.0,9.615384615384615,4.599156827979266,6,125.0,0.19154583189493463,6,125.0
225.0,8,136.0,9.714285714285714,3.1893168816202535,8,136.0,0.1031611463829603,8,136.0
240.0,5,84.0,5.25,5.266466500306305,5,123.0,0.2431963870465548,5,123.0
255.0,10,201.0,13.4,3.17960137464828,10,201.0,0.10735939644268097,10,201.0
270.0,6,139.0,8.176470588235293,5.5748962986666815,6,183.0,0.27986545276312974,6,183.0
285.0,9,248.0,16.533333333333335,4.658678586067648,9,248.0,0.1894730313313255,9,248.0
300.0,7,80.0,4.705882352941177,4.805949337573283,7,164.0,0.22964884443390388,7,164.0
315.0,10,180.0,11.25,3.60024429129968,10,180.0,0.10849029817738151,10,180.0
330.0,6,124.0,7.75,5.686216174567834,6,155.0,0.26381058002938573,6,155.0
345.0,10,248.0,17.714285714285715,3.583941471330706,10,248.0,0.21744651779535087,10,248.0
360.0,9,238.0,14.0,4.638633463262213,9,238.0,0.19487885561756324,9,238.0
375.0,7,99.0,5.823529411764706,5.586296038208371,7,159.0,0.27763318600794956,7,159.0
390.0,12,231.0,13.588235294117647,2.773792044346825,12,231.0,0.10332277568417923,12,231.0
405.0,12,290.0,15.263157894736842,3.7361633667292744,12,290.0,0.14497405717856623,12,290.0
420.0,10,259.0,13.631578947368421,4.1439499883602124,10,271.0,0.1772624867135448,10,271.0
435.0,12,175.0,8.75,3.770763363288215,12,218.0,0.11987068702896944,12,218.0
450.0,13,314.0,15.7,3.361502183956138,13,345.0,0.11701175542381563,13,345.0
465.0,13,327.0,16.35,3.144675124024462,13,373.0,0.07875892725545822,13,373.0
480.0,5,112.0,5.6,5.614819880555524,5,309.0,0.2998520978942024,5,309.0
495.0,9,166.0,8.736842105263158,5.133761082466684,9,225.0,0.20624819761390126,9,225.0
510.0,8,166.0,9.764705882352942,4.747458719743888,8,180.0,0.22002708247108443,8,180.0
525.0,6,101.0,5.9411764705882355,4.133851282752717,6,159.0,0.18852626518892987,6,159.0
540.0,8,212.0,14.133333333333333,4.0104979558123635,8,226.0,0.15619429682640115,8,226.0
555.0,8,214.0,13.375,4.8234405114640655,8,214.0,0.22904546049313448,8,214.0
570.0,6,155.0,9.117647058823529,5.637684009291078,6,162.0,0.25697161297180754,6,162.0
585.0,6,88.0,5.866666666666666,5.908885572736835,6,92.0,0.29370124298907174,6,92.0
600.0,9,128.0,9.142857142857142,4.74880416625986,9,128.0,0.23799048768872968,9,128.0
615.0,9,263.0,16.4375,3.9947705513278926,9,263.0,0.09860521395581213,9,263.0
630.0,11,336.0,21.0,3.260025912595559,11,336.0,0.1449065647541489,11,336.0
645.0,7,208.0,11.555555555555555,5.477340420142878,7,257.0,0.23343198666039466,7,257.0
660.0,12,353.0,23.533333333333335,1.1302350353459185,12,353.0,0.07954750043316688,12,353.0
675.0,10,177.0,8.85,3.918381003849933,10,255.0,0.17472116042462682,10,255.0
690.0,13,347.0,19.27777777777778,1.8547607834232254,13,347.0,0.09609229957237447,13,347.0
705.0,7,110.0,5.238095238095238,4.7903417893019125,7,331.0,0.2321557901075604,7,331.0
720.0,8,221.0,11.05,5.694726955178699,8,229.0,0.22818135302822096,8,229.0
735.0,12,265.0,14.722222222222221,3.7847735416396517,12,273.0,0.1303074069523859,12,273.0
750.0,8,128.0,6.7368421052631575,4.245361063243695,8,212.0,0.20442223835218887,8,212.0
765.0,11,264.0,15.529411764705882,3.784164961730024,11,272.0,0.12976785019209314,11,272.0
780.0,13,362.0,20.11111111111111,3.2375548947087234,13,362.0,0.1646458214836272,13,362.0
795.0,14,458.0,21.80952380952381,3.5379635612585285,14,458.0,0.12682948692464946,14,458.0
810.0,8,151.0,7.190476190476191,3.9192815450918177,8,423.0,0.17054060195033016,8,423.0
825.0,9,242.0,12.736842105263158,4.469829636325123,9,302.0,0.17974991194396941,9,302.0
840.0,11,316.0,16.63157894736842,3.954452588236243,11,344.0,0.1489912962804985,11,344.0
